message,purpose
"No, we can't do that. As I pointed out previously in https://github.com/eclipse/omr/pull/5213#discussion_r428859832, the assert would not be a false positive in these instances. When using the full 64-bit result (as is done here when running on 64-bit systems), using `-0x8000` instead of `0x8000` will not end up with the correct bit pattern in the register and will result in incorrect behaviour.",discussion_participation
"This assert does guarantee that the upper bits are unset, but thinking about it, I do agree that the type conversions involved can be a bit unintuitive. This works based on sign-extension to `intptr_t` after negation, so it only works because the upper bit of that mask is set after negating it. Perhaps using `(aValue & ~static_cast<uintptr_t>(0x7FFF0000))` instead would make this more clear?",discussion_participation
"Considering that it looks like the post-P10 and pre-P10 versions of the inlined arraycopy code aren't actually sharing much code at all, perhaps they should be split into two separate functions?",discussion_participation
"Minor typo:

```suggestion
   //    POWER8 potentially micro-coded unaligned integer accesses in LE mode,
```",discussion_participation
"If I'm reading this correctly, this comment seems to be referring to the removal of the env var checks above? Can you please clarify what this is saying?",change_request
Since you're creating the expression yourself I suggest you create the optimal one now rather than relying on the code generator to do any sort of optimization on it. We have multiple code generators and creating trees that then need to be optimized in all of them is not such a good idea.,discussion_participation
"My thinking here is that if a typical user sets `CC` the expectation will be that that everything is built with the requested compiler. If we don't allow `CC` to set `INTERP_GCC` they'll have to dig around to discover what's going on and override it themselves, which is an annoyance I wouldn't want to inflict.

On the flip side anyone who's aware of `INTERP_GCC` can still set it themselves if they override `CC`, although it just occurred to me that they'd have to know what the hardcoded value was, so perhaps another var like `INTERP_GCC_IGNORE_CC` to control this behaviour makes sense, that way you can set your own value or keep the hardcoded value without knowing/caring what it is.",discussion_participation
"When I tried to follow these instructions having quotes here, either around just the path being prepended or around the whole thing made OpenJDK's `configure` fail. Getting rid of the quotes made it happy.",discussion_participation
"I noticed that this is how OpenJDK9 builds freetype as well, but it doesn't really do what was intended. This is building both a dynamic library and a static library, and later linking against the static library; the DLL is completely unused. The intention seems to be to build a DLL and the corresponding import library, not a static library. The MSVC linker produces import libraries for DLLs automatically when DLLs export things, but this version of freetype doesn't export any symbols. Looks like it's fixed in later versions and the public API is declared with `__declspec(dllexport)`, but for this one either the source would need to be modified or an exports file declaring some symbols would need to be fed to the linker.",discussion_participation
"Aside from the quotes issue mentioned above that should be changed, yes they work.

There's a bug in the OMR build files that bit me, but it depends on what your `PATH` is set to and I submitted a PR to them to fix that.",discussion_participation
